"","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"1",0.09360642,0.06496953,0,0.0906094,0,0.1028728,-1.261169e-44,0.09240656,0.06562953,0.2017167,0,0,0.1028979,-1.261169e-44,0.02395211,0.007684051,2.245169e-10,0.05966083,0.05031828,0.2457552,0.1932433,0.01865932,-1.261169e-44,-1.261169e-44,3.546667e-37,0.05256398,0.04175017,0.03867823,0.03712362,0.165331,0.1608592,0.04521793,0.05408756,0.1505974,0.09243669,0.03325479,0.03385252,0.04460855,0.04422763,0.03728146,0.03511043,0.1568211,0.1569804,0.08560387,-1.261169e-44,-1.261169e-44,0.05241863,0.0236547,0.02237142,0.06353899,0.06342113,2.283078e-06,1504510," 437713:25:04.510",1
"2",0.09353954,0.06214242,0,0.08131691,0,0.1034153,-1.261169e-44,0.09235888,0.0628434,0.1924514,0,0,0.10344,-1.261169e-44,0.02397121,0.007698084,2.066247e-10,0.05960064,0.05034934,0.2463078,0.1937111,0.01849625,-1.261169e-44,-1.261169e-44,3.264026e-37,0.05244374,0.04132922,0.03878723,0.03723665,0.1652166,0.1607479,0.04529174,0.05417227,0.1509715,0.09208544,0.03337561,0.03394921,0.04455238,0.04417608,0.03723328,0.03507912,0.1568547,0.157013,0.08560073,-1.261169e-44,-1.261169e-44,0.05252029,0.02372263,0.02244844,0.06359664,0.06350978,2.677142e-06,1504527," 437713:25:04.527",1
"3",0.09349203,0.06112882,0,0.07235308,0,0.1039381,-1.261169e-44,0.09233429,0.06185848,0.1835639,0,0,0.1039628,-1.261169e-44,0.0239652,0.007850418,1.901584e-10,0.059905,0.05058531,0.2544601,0.2062711,0.01855093,-1.261169e-44,-1.261169e-44,3.003909e-37,0.05213201,0.04078765,0.03876792,0.03721611,0.1653431,0.1607104,0.04531764,0.05432449,0.1510862,0.09188744,0.03341627,0.03398694,0.04466933,0.0443003,0.03719091,0.0350558,0.1569001,0.1570583,0.08562224,-1.261169e-44,-1.261169e-44,0.05264238,0.02380309,0.02252627,0.0636762,0.06363296,5.236351e-06,1504544," 437713:25:04.544",1
"4",0.09345675,0.05898824,0,0.06637574,0,0.1044823,-1.261169e-44,0.09232535,0.05974366,0.1775613,0,0,0.1045066,-1.261169e-44,0.0239922,0.007939275,1.750043e-10,0.06039711,0.05078153,0.2584053,0.2097618,0.0185566,-1.261169e-44,-1.261169e-44,2.764522e-37,0.05180131,0.04034124,0.03863987,0.03709558,0.1657659,0.1610061,0.04524641,0.05437168,0.150872,0.0921682,0.03340591,0.03397387,0.04495097,0.04458417,0.03726374,0.03514174,0.1569194,0.1570761,0.08573063,-1.261169e-44,-1.261169e-44,0.05268215,0.02385728,0.02258542,0.06373238,0.06373403,6.421746e-06,1504562," 437713:25:04.562",1
"5",0.09336945,0.05712009,0,0.0662205,0,0.1049593,-1.261169e-44,0.09226068,0.05788507,0.1773657,0,0,0.1049836,-1.261169e-44,0.02401329,0.008060174,1.610578e-10,0.06075004,0.05095689,0.2597355,0.2112271,0.01851077,-1.261169e-44,-1.261169e-44,2.544212e-37,0.05195511,0.04045647,0.03848806,0.03694604,0.1661,0.1612369,0.04521995,0.05435603,0.1506551,0.09231073,0.03336122,0.03392113,0.04511154,0.04474689,0.03725366,0.03515143,0.1567338,0.1568886,0.08590481,-1.261169e-44,-1.261169e-44,0.05270788,0.02386885,0.02260666,0.06372282,0.06377371,8.38109e-06,1504577," 437713:25:04.577",1
"6",0.09335739,0.06057207,0,0.06691956,0,0.1052264,-1.261169e-44,0.0922704,0.06131811,0.1781038,0,0,0.1052505,-1.261169e-44,0.02404299,0.008118733,1.482228e-10,0.06093526,0.05112913,0.260829,0.2122609,0.01848293,-1.261169e-44,-1.261169e-44,2.341458e-37,0.05206165,0.04059904,0.03838813,0.036862,0.1664799,0.161597,0.0452718,0.05438551,0.1507936,0.09225604,0.03336222,0.03392058,0.04524717,0.04487567,0.03723769,0.03514532,0.1564821,0.1566371,0.08604563,-1.261169e-44,-1.261169e-44,0.05281887,0.02387925,0.02262284,0.063737,0.06381883,1.065311e-05,1504595," 437713:25:04.595",1
"7",0.09355856,0.06723774,0,0.06137009,0,0.1053889,-1.261169e-44,0.09249371,0.06796545,0.1726698,0,0,0.1054133,-1.261169e-44,0.02397279,0.008325304,1.364107e-10,0.06094841,0.0512373,0.2669508,0.2155088,0.01867121,-1.261169e-44,-1.261169e-44,2.154863e-37,0.05175804,0.04023315,0.03828122,0.03677063,0.1670481,0.1619726,0.04527747,0.05438396,0.1511026,0.09208328,0.03334908,0.03393905,0.04534818,0.04496379,0.03723856,0.03515568,0.1564334,0.1565888,0.08615363,-1.261169e-44,-1.261169e-44,0.05297883,0.02392748,0.022665,0.06382269,0.06395417,8.219095e-06,1504610," 437713:25:04.610",1
"8",0.09363626,0.07060073,0,0.06196035,0,0.1052185,-1.261169e-44,0.09259397,0.07131029,0.1733272,0,0,0.1052431,-1.261169e-44,0.02391028,0.008461355,1.255398e-10,0.06081492,0.05122896,0.2686188,0.2162643,0.01887082,-1.261169e-44,-1.261169e-44,1.983138e-37,0.05156671,0.03999884,0.03820477,0.03671908,0.1675108,0.1623079,0.04527679,0.05426348,0.1514013,0.09201352,0.03335406,0.03397996,0.0454329,0.04502992,0.0372741,0.03520136,0.1563263,0.1564853,0.08617036,-1.261169e-44,-1.261169e-44,0.05305719,0.02390628,0.0226434,0.06378748,0.06399136,9.445048e-06,1504627," 437713:25:04.627",1
"9",0.09347176,0.07890644,0,0.05743009,0,0.1048058,-1.261169e-44,0.09244818,0.07959043,0.1690081,0,0,0.1048303,-1.261169e-44,0.02380981,0.008613794,1.155353e-10,0.06043236,0.05116031,0.2555301,0.2146598,0.01911601,-1.261169e-44,-1.261169e-44,1.825097e-37,0.05170261,0.04010822,0.03834733,0.03682956,0.1672677,0.1613616,0.04545672,0.05415688,0.152244,0.09163192,0.03348062,0.03412701,0.04525335,0.04483055,0.03718616,0.03512638,0.155996,0.156157,0.08612341,-1.261169e-44,-1.261169e-44,0.05323218,0.02386681,0.02258776,0.06359952,0.06388187,7.169226e-06,1504645," 437713:25:04.645",1
"10",0.0932844,0.08862423,0,0.04847807,0,0.1043225,-1.261169e-44,0.09227908,0.08929535,0.160321,0,0,0.1043469,-1.261169e-44,0.02365394,0.008866766,1.063281e-10,0.06021615,0.0511608,0.2554644,0.2147092,0.01956197,-1.261169e-44,-1.261169e-44,1.679652e-37,0.05131941,0.03959036,0.03846215,0.03690455,0.1671247,0.1607295,0.04556467,0.05418073,0.1527272,0.0913194,0.03356224,0.03425377,0.04518011,0.04473915,0.03710822,0.03505971,0.155808,0.1559709,0.08608718,-1.261169e-44,-1.261169e-44,0.05340273,0.02385909,0.02254782,0.06342685,0.0637937,5.875464e-06,1504660," 437713:25:04.660",1
"11",0.09311878,0.0885249,0,0.04944109,0,0.1039987,-1.261169e-44,0.09212766,0.0891929,0.1613492,0,0,0.1040233,-1.261169e-44,0.02342632,0.009170823,9.785456e-11,0.06008093,0.05126431,0.2658045,0.2200074,0.02002844,-1.261169e-44,-1.261169e-44,1.545797e-37,0.05049255,0.03776409,0.03850146,0.03692193,0.1670961,0.1602448,0.04560918,0.05435406,0.1528842,0.09073349,0.03352954,0.03427463,0.04516552,0.04472361,0.03690805,0.03487325,0.1557478,0.1559132,0.08604204,-1.261169e-44,-1.261169e-44,0.05353309,0.02388043,0.02253189,0.06330594,0.06373332,5.852392e-06,1504677," 437713:25:04.677",1
"12",0.09296116,0.08372191,0,0.05251501,0,0.1039408,-1.261169e-44,0.0919856,0.08440006,0.1643657,0,0,0.1039655,-1.261169e-44,0.02322523,0.009418536,9.005634e-11,0.05995102,0.05133718,0.2683017,0.2211795,0.02021981,-1.261169e-44,-1.261169e-44,1.422609e-37,0.04999769,0.03680224,0.03855871,0.03697743,0.1669632,0.1598131,0.04560454,0.05461713,0.1528016,0.09007258,0.03346954,0.03424991,0.04515994,0.04472988,0.03664581,0.03463851,0.1558599,0.1560301,0.08590551,-1.261169e-44,-1.261169e-44,0.05356319,0.02389545,0.02253149,0.06315102,0.06362982,4.197232e-06,1504696," 437713:25:04.696",1
"13",0.09269326,0.07687182,0,0.05776462,0,0.1045586,-1.261169e-44,0.09172688,0.07756401,0.1695516,0,0,0.1045847,-1.261169e-44,0.02304301,0.009609473,8.287957e-11,0.05985714,0.0514648,0.2698601,0.2218783,0.02022512,-1.261169e-44,-1.261169e-44,1.309239e-37,0.0493271,0.03432423,0.03860585,0.03705029,0.1670824,0.159757,0.04556262,0.05499396,0.152486,0.08837963,0.03334418,0.0341557,0.04522536,0.04482359,0.03633653,0.0343606,0.1561265,0.1563001,0.08576,-1.261169e-44,-1.261169e-44,0.05352571,0.023974,0.02260557,0.06317659,0.06366164,8.371586e-06,1504710," 437713:25:04.710",1
"14",0.09248043,0.06674987,0,0.06719016,0,0.1055586,-1.261169e-44,0.09151386,0.06746333,0.1787761,0,0,0.1055909,-1.261169e-44,0.02295357,0.009748633,7.627473e-11,0.05971982,0.05155052,0.2706061,0.2217541,0.02021687,-1.261169e-44,-1.261169e-44,1.204903e-37,0.04868007,0.03266586,0.03875745,0.03722059,0.1671498,0.1597228,0.0455429,0.05545617,0.1523357,0.08732454,0.03328716,0.03412601,0.04529372,0.04491533,0.03608674,0.03413066,0.1564134,0.1565902,0.0856436,-1.261169e-44,-1.261169e-44,0.05349083,0.02407902,0.02271184,0.06322622,0.06371099,1.324225e-05,1504727," 437713:25:04.727",1
"15",0.09230243,0.06797443,0,0.06340681,0,0.106289,-1.261169e-44,0.09133431,0.06869179,0.1750019,0,0,0.1063242,-1.261169e-44,0.0228423,0.01000383,7.019624e-11,0.05967327,0.05173392,0.2711248,0.221773,0.02034667,-1.261169e-44,-1.261169e-44,1.108882e-37,0.04839508,0.03203099,0.03878091,0.03723883,0.1674366,0.1597739,0.04552614,0.05583068,0.1519846,0.08628403,0.03312197,0.03399018,0.045373,0.04501694,0.03578275,0.03384713,0.1564851,0.1566633,0.08558352,-1.261169e-44,-1.261169e-44,0.05350157,0.02416042,0.02278025,0.06327285,0.06375841,2.340175e-05,1504746," 437713:25:04.746",1
"16",0.09209569,0.07315873,0,0.06060113,0,0.106493,-1.261169e-44,0.0911376,0.07385892,0.1723103,0,0,0.1065292,-1.261169e-44,0.02273132,0.01023078,6.460217e-11,0.05946849,0.05182163,0.2713633,0.2216621,0.02041353,-1.261169e-44,-1.261169e-44,1.020513e-37,0.04810177,0.03141579,0.03890838,0.03739061,0.1676044,0.1597857,0.04558442,0.05618384,0.1519742,0.08543492,0.03304255,0.03395553,0.04539266,0.04504928,0.03551657,0.03361573,0.1563973,0.156582,0.085534,-1.261169e-44,-1.261169e-44,0.05352657,0.02420169,0.02281932,0.06325141,0.06376524,2.284546e-05,1504760," 437713:25:04.760",1
"17",0.09159905,0.06896285,0,0.06101814,0,0.1066992,-1.261169e-44,0.09064944,0.06968237,0.1726846,0,0,0.1067361,-1.261169e-44,0.02263029,0.0104148,5.945389e-11,0.05925059,0.05188717,0.2660531,0.2179638,0.02032111,-1.261169e-44,-1.261169e-44,9.391864e-38,0.04793234,0.03098158,0.0390563,0.03756345,0.1674777,0.1595999,0.04565859,0.05649398,0.151817,0.08448825,0.03296684,0.0339002,0.04531887,0.04499773,0.03521304,0.03335385,0.1557882,0.1559808,0.08571924,-1.261169e-44,-1.261169e-44,0.05349226,0.02420717,0.02283455,0.063136,0.06369334,2.33752e-05,1504777," 437713:25:04.777",1
"18",0.09105732,0.05751311,0,0.0663555,0,0.1071082,-1.261169e-44,0.09011699,0.05827478,0.1777648,0,0,0.107146,-1.261169e-44,0.0225492,0.01061129,5.47159e-11,0.05922412,0.05207857,0.2646054,0.2171242,0.02016912,-1.261169e-44,-1.261169e-44,8.643408e-38,0.0479215,0.03071159,0.03909062,0.03764759,0.1674561,0.1595821,0.0457335,0.05682566,0.1515516,0.08360884,0.03284295,0.03378887,0.04528008,0.04499437,0.03489954,0.03309163,0.1552926,0.1554905,0.08593088,-1.261169e-44,-1.261169e-44,0.05354083,0.02423084,0.0228807,0.0631071,0.06368983,1.916974e-05,1504796," 437713:25:04.796",1
"19",0.08938842,0.03189171,0,0.08105669,0,0.1095622,-1.261169e-44,0.08851819,0.03276071,0.1918209,0,0,0.1096074,-1.261169e-44,0.02260241,0.01068495,5.035548e-11,0.05936096,0.05242958,0.2627644,0.2166076,0.01975335,-1.261169e-44,-1.261169e-44,7.954599e-38,0.0481346,0.03075776,0.03913461,0.037778,0.1674758,0.15986,0.04585544,0.05732075,0.1512194,0.08163612,0.03270877,0.03364819,0.04526176,0.04502623,0.03457408,0.03282431,0.1555721,0.1557742,0.08587657,-1.261169e-44,-1.261169e-44,0.05353921,0.02433942,0.02303322,0.06337027,0.06395843,1.101141e-05,1504810," 437713:25:04.810",1
"20",0.08849705,0.04195843,0,0.07816233,0,0.1104796,-1.261169e-44,0.08765972,0.04277708,0.1891983,0,0,0.1105249,-1.261169e-44,0.02272967,0.01044019,4.634255e-11,0.05939174,0.05267912,0.2492569,0.2119949,0.01914304,-1.261169e-44,-1.261169e-44,7.320681e-38,0.0487505,0.03202947,0.03927487,0.03798014,0.1672102,0.1600769,0.04606004,0.05775028,0.1509343,0.08059698,0.03264473,0.03354613,0.04519983,0.04501186,0.03428696,0.03258278,0.156008,0.1562145,0.08561071,-1.261169e-44,-1.261169e-44,0.05343763,0.02440764,0.02314143,0.0636034,0.06419653,2.17566e-05,1504827," 437713:25:04.827",1
"21",0.08782981,0.04641855,0,0.08090565,0,0.1108138,-1.261169e-44,0.08702375,0.04720734,0.1919975,0,0,0.1108577,-1.261169e-44,0.02282408,0.01000012,4.264942e-11,0.05933275,0.05284759,0.2434251,0.2087738,0.01767254,-1.261169e-44,-1.261169e-44,6.737281e-38,0.05022955,0.03478375,0.0393096,0.03810132,0.1669305,0.1604769,0.04626426,0.05795177,0.1506197,0.07983012,0.03256359,0.03341947,0.04509079,0.0449482,0.03402846,0.03237342,0.1563441,0.1565579,0.08532682,-1.261169e-44,-1.261169e-44,0.05341148,0.02441417,0.02319937,0.06381282,0.06440277,2.388036e-05,1504847," 437713:25:04.847",1
"22",0.08733591,0.0491112,0,0.0780227,0,0.111176,-1.261169e-44,0.08655831,0.0498916,0.1892692,0,0,0.1112179,-1.261169e-44,0.02291961,0.009657304,3.92506e-11,0.05919324,0.05303492,0.2398799,0.2071574,0.01682989,-1.261169e-44,-1.261169e-44,6.200374e-38,0.05201964,0.03763315,0.03939737,0.03824614,0.1666505,0.1607354,0.04650091,0.05819569,0.1504194,0.07904799,0.03247748,0.03328884,0.04494501,0.04483279,0.03372305,0.03211718,0.1567615,0.1569798,0.0850061,-1.261169e-44,-1.261169e-44,0.05331561,0.0244389,0.02326144,0.06401515,0.06461191,2.663319e-05,1504862," 437713:25:04.862",1
"23",0.08725907,0.05591485,0,0.0683943,0,0.1113601,-1.261169e-44,0.0865064,0.05668061,0.1799076,0,0,0.1113994,-1.261169e-44,0.02299893,0.009341506,3.612264e-11,0.05899791,0.05310626,0.2379344,0.2038555,0.0163119,-1.261169e-44,-1.261169e-44,5.706254e-38,0.05309203,0.04001072,0.03950773,0.03836324,0.1663392,0.1608321,0.04668052,0.05835641,0.1502804,0.07853854,0.03241836,0.03318067,0.04481393,0.04472278,0.03348693,0.03191449,0.1571481,0.157365,0.0846939,-1.261169e-44,-1.261169e-44,0.05317704,0.02444624,0.02328418,0.06406827,0.06467784,3.001171e-05,1504877," 437713:25:04.877",1
"24",0.08720033,0.05982191,0,0.05735154,0,0.1112776,-1.261169e-44,0.08647556,0.06059568,0.1690655,0,0,0.1113142,-1.261169e-44,0.02302782,0.008940152,3.324396e-11,0.05853968,0.05295506,0.2292541,0.1948523,0.01576313,-1.261169e-44,-1.261169e-44,5.251511e-38,0.05455743,0.04164895,0.0397921,0.03863435,0.1642805,0.1604529,0.04695495,0.05844925,0.1504792,0.07811467,0.03253944,0.0332214,0.04450405,0.04443676,0.03324539,0.03170764,0.1570045,0.1572174,0.08455053,-1.261169e-44,-1.261169e-44,0.05315713,0.02440557,0.02327128,0.06388343,0.06452145,2.310351e-05,1504894," 437713:25:04.894",1
"25",0.08698349,0.05851969,0,0.04713223,0,0.1113153,-1.261169e-44,0.08628822,0.05932468,0.1588995,0,0,0.1113493,-1.261169e-44,0.02299025,0.008693626,3.059468e-11,0.05797816,0.05279537,0.2271939,0.1924151,0.01531322,-1.261169e-44,-1.261169e-44,4.833008e-38,0.0551764,0.04210233,0.04009465,0.03895648,0.1634162,0.1601353,0.04719854,0.05860865,0.1509185,0.07755005,0.0326643,0.03329807,0.04422585,0.04417754,0.03297871,0.03148549,0.156673,0.1568832,0.08451588,-1.261169e-44,-1.261169e-44,0.05323398,0.02438126,0.0232829,0.06366708,0.0643766,2.146916e-05,1504912," 437713:25:04.912",1
"26",0.08666801,0.05277492,0,0.0501949,0,0.1115373,-1.261169e-44,0.08599997,0.05359786,0.1619032,0,0,0.1115689,-1.261169e-44,0.02292425,0.008532698,2.815653e-11,0.05737807,0.05269157,0.2263736,0.1915492,0.01487936,-1.261169e-44,-1.261169e-44,4.447856e-38,0.05555943,0.04212922,0.04044407,0.03934212,0.1625844,0.1596625,0.04748404,0.05890743,0.1515031,0.07618035,0.03279253,0.0333798,0.04390525,0.04388104,0.03262756,0.03118669,0.1561668,0.1563754,0.08458935,-1.261169e-44,-1.261169e-44,0.05333236,0.0243727,0.02331737,0.06343608,0.06420822,2.187722e-05,1504928," 437713:25:04.928",1
"27",0.08621727,0.04926556,0,0.04223042,0,0.1116919,-1.261169e-44,0.08557312,0.0501209,0.1540027,0,0,0.1117212,-1.261169e-44,0.02288535,0.008443462,2.591268e-11,0.05681948,0.0526068,0.225647,0.1910711,0.01461304,-1.261169e-44,-1.261169e-44,4.093398e-38,0.05729244,0.04355835,0.04072118,0.03960804,0.1618241,0.1590823,0.04782259,0.05903625,0.1521618,0.07543314,0.03292502,0.03345055,0.04353429,0.04352622,0.03229826,0.03089854,0.155362,0.1555512,0.08471867,-1.261169e-44,-1.261169e-44,0.05345937,0.02432752,0.02329867,0.06313529,0.06397712,2.186589e-05,1504946," 437713:25:04.946",1
"28",0.08572388,0.04920409,0,0.04898847,0,0.1117279,-1.261169e-44,0.08509488,0.05004499,0.1606335,0,0,0.1117552,-1.261169e-44,0.02284335,0.008368403,2.384765e-11,0.05624307,0.05257189,0.2266388,0.193252,0.01453321,-1.261169e-44,-1.261169e-44,3.767187e-38,0.05807313,0.04425881,0.04093421,0.03982097,0.1613712,0.1587601,0.04815981,0.05913188,0.1537199,0.07465818,0.03302068,0.03350696,0.04319202,0.04319767,0.0320148,0.03064056,0.1547719,0.154954,0.08477258,-1.261169e-44,-1.261169e-44,0.05371023,0.0242993,0.02328698,0.06297925,0.06386443,3.717539e-05,1504960," 437713:25:04.960",1
